Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Train Time (sec)
Logistic Regression,0.8404936906465461,0.14991407041819063,0.912308930008045,0.2575126788282492,0.9113265894789648,0.14155692764384406,45.91643524169922
Random Forest,0.9927231039417198,0.823220802919708,0.9678197908286403,0.889683224454579,0.9992984624638663,0.9860101727783938,21.92790985107422
XGBoost,0.9969916742552362,0.9231544469639708,0.9825690533655136,0.9519355676799168,0.9996723417935954,0.9936306116048594,9.039297103881836
HistGradientBoosting,0.9973412904904384,0.9862778730703259,0.9251810136765889,0.9547530095475301,0.999134990879569,0.9833661124080261,5.782574415206909
