Scenario,Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
11,XGBoost,0.9992695175772333,0.9970642201834863,1.0,0.9985299522234473,0.9999999553044446,0.9999998644972607
11,Autoencoder,0.9736113224775529,0.9603134479271992,0.9321555637345111,0.9460250264583203,0.9922836749027266,0.9291190112055534
11,Hybrid XGBoost + Autoencoder,0.9992695175772333,0.9970642201834863,1.0,0.9985299522234473,0.9999999553044446,0.9999998644972607
12,XGBoost,0.9872405173350722,0.2248062015503876,0.02629193109700816,0.04707792207792207,0.7200166537647229,0.060847429641490654
12,Autoencoder,0.980643408325182,0.002932551319648094,0.001813236627379873,0.0022408963585434176,0.5289635315284056,0.011450813393703126
12,Hybrid XGBoost + Autoencoder,0.9873165960221715,0.22413793103448276,0.02357207615593835,0.04265791632485644,0.7200163844928905,0.06082060845746883
13,XGBoost,0.9562519964507542,0.9670828603859251,0.445935960591133,0.610405208925975,0.9893987777106616,0.8957022495722295
13,Autoencoder,0.9064205856255546,0.0022532037741163215,0.0004926108374384236,0.0008084687097344684,0.6088889459486043,0.08708398149296932
13,Hybrid XGBoost + Autoencoder,0.9562638272700384,0.967843294558096,0.4457204433497537,0.6103545680677938,0.9893987109488218,0.8957005906234982
