epoch,loss,val_loss,learning_rate
1,0.6157118082046509,1.5814660787582397,0.0010000000474974513
2,0.46759095788002014,1.504021406173706,0.0010000000474974513
3,0.41906604170799255,1.471476674079895,0.0010000000474974513
4,0.39269953966140747,1.4527318477630615,0.0010000000474974513
5,0.3710861802101135,1.4499506950378418,0.0010000000474974513
6,0.3562452793121338,1.4301146268844604,0.0010000000474974513
7,0.3426820933818817,1.4422104358673096,0.0010000000474974513
8,0.3317972719669342,1.4203462600708008,0.0010000000474974513
9,0.32279616594314575,1.4207863807678223,0.0010000000474974513
10,0.31367865204811096,1.3999621868133545,0.0010000000474974513
11,0.3047568202018738,1.4014145135879517,0.0010000000474974513
12,0.2979247570037842,1.3712742328643799,0.0010000000474974513
13,0.2928624749183655,1.4377895593643188,0.0010000000474974513
14,0.286690890789032,1.3839396238327026,0.0010000000474974513
15,0.282473623752594,1.3810137510299683,0.0010000000474974513
16,0.26879000663757324,1.366526484489441,0.0005000000237487257
17,0.26325228810310364,1.361423134803772,0.0005000000237487257
18,0.26106584072113037,1.3593993186950684,0.0005000000237487257
19,0.2580348253250122,1.3488640785217285,0.0005000000237487257
20,0.2567301392555237,1.3516051769256592,0.0005000000237487257
21,0.2544005811214447,1.354217290878296,0.0005000000237487257
22,0.252218633890152,1.3515183925628662,0.0005000000237487257
23,0.246855691075325,1.343845009803772,0.0002500000118743628
24,0.24530334770679474,1.3446253538131714,0.0002500000118743628
25,0.2442910522222519,1.3415827751159668,0.0002500000118743628
26,0.24340397119522095,1.3426170349121094,0.0002500000118743628
27,0.24256490170955658,1.3406977653503418,0.0002500000118743628
28,0.24183891713619232,1.3396575450897217,0.0002500000118743628
29,0.24111473560333252,1.3379604816436768,0.0002500000118743628
30,0.24012406170368195,1.3366273641586304,0.0002500000118743628
31,0.23945888876914978,1.3391529321670532,0.0002500000118743628
32,0.2385888546705246,1.339496374130249,0.0002500000118743628
33,0.23804648220539093,1.3335660696029663,0.0002500000118743628
34,0.2372625768184662,1.3360480070114136,0.0002500000118743628
35,0.23651036620140076,1.336000919342041,0.0002500000118743628
36,0.23582637310028076,1.333408236503601,0.0002500000118743628
37,0.23530060052871704,1.3317660093307495,0.0002500000118743628
38,0.2347210943698883,1.3402410745620728,0.0002500000118743628
39,0.2340560406446457,1.3439276218414307,0.0002500000118743628
40,0.23336514830589294,1.338710904121399,0.0002500000118743628
41,0.23107647895812988,1.3369461297988892,0.0001250000059371814
42,0.2305169254541397,1.3348910808563232,0.0001250000059371814
43,0.23018880188465118,1.3337832689285278,0.0001250000059371814
44,0.22906194627285004,1.3319936990737915,6.25000029685907e-05
