Threshold,Accuracy,Precision,Recall,F1,True_Negatives,False_Positives,False_Negatives,True_Positives
0.05,0.9633089188843632,0.9516357870138541,0.5464369578760723,0.6942372674967274,504597,1159,18929,22805
0.06,0.9634879175875358,0.9560020132539216,0.5461494225331863,0.6951628644626082,504707,1049,18941,22793
0.07,0.9635902025607773,0.9587928276790976,0.5458139646331528,0.6956269468026629,504777,979,18955,22779
0.08,0.9636340389778809,0.9603442456969288,0.5454545454545454,0.6957425349185489,504816,940,18970,22764
0.09,0.9636870079818809,0.9619889222443025,0.5451670101116596,0.6959394356503785,504857,899,18982,22752
0.1,0.9637655482291914,0.96421302578019,0.5448794747687736,0.6962858630086654,504912,844,18994,22740
0.11,0.9638057316115363,0.965508452977657,0.5446398619830354,0.6964274771738465,504944,812,19004,22730
0.12,0.9638239967853294,0.9662754103938079,0.544424210475871,0.6964504659146641,504963,793,19013,22721
0.13,0.9638714862371915,0.9675042589437819,0.5443283653615757,0.6966908945931856,504993,763,19017,22717
0.14,0.9638879248936053,0.9681544954597775,0.5441606364115589,0.696721940145112,505009,747,19024,22710
0.15,0.963915322654295,0.9690140845070423,0.544016868740116,0.6968264686022958,505030,726,19030,22704
0.16,0.9639481999671227,0.9700803556163446,0.5438251785115253,0.6969445723936742,505056,700,19038,22696
0.17,0.9639755977278124,0.9711056889687941,0.5435855657257871,0.6970120592979492,505081,675,19048,22686
0.18,0.96400847504064,0.9720162845511034,0.5434897206114918,0.6971676220627334,505103,653,19052,22682
0.19,0.9640176076275365,0.9727108898995966,0.543202185268606,0.697109471094711,505120,636,19064,22670
0.2,0.9640413523534677,0.9734977019887462,0.543058417597163,0.6971929554718141,505139,617,19070,22664
0.21,0.9640687501141574,0.9742884168888124,0.5429625724828677,0.697316592811423,505158,598,19074,22660
0.22,0.9640778827010539,0.9747837686647446,0.5427948435328509,0.6973050343989041,505170,586,19081,22653
0.23,0.9641052804617436,0.9757001292546317,0.5426271145828342,0.69740083764474,505192,564,19088,22646
0.24,0.964125372152916,0.9764091948074352,0.5424833469113912,0.6974630705010705,505209,547,19094,22640
0.25,0.9641491168788471,0.9772040411018047,0.5423395792399482,0.6975468441814595,505228,528,19100,22634
0.26,0.9641637290178816,0.9778718990405394,0.5421478890113577,0.697558268590455,505244,512,19108,22626
0.27,0.9641911267785713,0.9785890393183097,0.54209996645421,0.6977009544662545,505261,495,19110,22624
0.28,0.9641966063307092,0.9789646814404432,0.541956198782767,0.6976772880101175,505270,486,19116,22618
0.29,0.9642148715045024,0.979513167013167,0.5418843149470456,0.6977569343741322,505283,473,19119,22615
