Scenario,Rows,Accuracy,Precision,Recall,F1,ROC_AUC
11,32855,0.9996956323238472,0.9987746599681412,1.0,0.9993869543894066,0.9999999553044447
12,92010,0.9878600152157374,0.3541666666666667,0.015412511332728921,0.029539530842745437,0.7200166537647229
13,422625,0.953949719018042,0.9819339552791352,0.4083128078817734,0.5767842386813378,0.9893987777106618
